sku,howToUse,whenToUse,whyThisProduct
MGPS-6016P,"1. Hazırlık: Yüzeyi yıkayın ve bol miktarda kaydırıcı püskürtün.
2. Eldiveni Takın: Eldiveni elinize geçirin.
3. Uygulama: Hafif basınçla yüzeyde ileri-geri kaydırın.
4. Kaydırıcı: Sürekli kaydırıcı ekleyin, kuru yüzeyde asla çalışmayın.
5. Kontrol: Yüzey pürüzsüzlüğünü poşet testiyle kontrol edin.
6. Temizlik: Kirlenince ılık suyla durulayıp devam edin.","Orta seviyeli kirleticilerin (reçine, hafif zift, boya sisi) hızlı temizliği için kullanılır. Eldiven formu sayesinde düşürme riski yoktur.","• Eldiven formu - kaygan yüzeyde güvenli kavrama
• Düşürme riski yok - kili ziyan etmezsiniz
• 30-40 kullanım ömrü - maliyet avantajı
• Mikrofiber taban - yumuşak ve güvenli"
MGPS-6009P,"1. Hazırlık: Yüzeyi yıkayın ve bol miktarda kaydırıcı püskürtün.
2. Bezi Katlayın: Polimer yüzey dışa bakacak şekilde katlayın.
3. Uygulama: Hafif basınçla yüzeyde ileri-geri kaydırın.
4. Kaydırıcı: Sürekli kaydırıcı ekleyin.
5. Kontrol: Yüzey pürüzsüzlüğünü kontrol edin.
6. Temizlik: Kirlenince durulayıp kaldığınız yerden devam edin.","Geniş panellerde hızlı dekontaminasyon için kullanılır. Reçine, asfalt sisi, metal tozu ve endüstriyel kirleri saniyeler içinde söker.","• 30x30 cm geniş yüzey - en geniş kil temas alanı
• 4 kata kadar daha uzun ömür - 60+ araç
• Düşse bile durulayıp devam edin
• 320 gsm mikrofiber sırt - kaliteli yapı"
MGPS-6045,"1. Hazırlık: Yüzeyi yıkayın ve kaydırıcı püskürtün.
2. Kavrama: Bloğu avuç içinize alın - ergonomik tasarım tam oturur.
3. Uygulama: Hafif basınçla yüzeyde kaydırın.
4. Kaydırıcı: Sürekli kaydırıcı ekleyin.
5. Kontrol: Yüzey pürüzsüzlüğünü kontrol edin.
6. Temizlik: Kirlenince ılık suyla durulayın.","Zift, reçine, endüstriyel toz, fren balata kalıntısı ve su lekelerini tek adımda temizlemek için. Wax ve sealant öncesi yüzey hazırlığında ideal.","• Kompakt boyut - avuç içine tam oturur
• İnce-grade - hassas yüzeylerde güvenli
• Ergonomik sünger yapısı - eşit basınç
• Düşürme sorununu ortadan kaldırır"
MGPS-6046R,"1. Hazırlık: Yüzeyi yıkayın ve kaydırıcı püskürtün.
2. Kavrama: Mouse tasarımı sayesinde elinize tam oturur.
3. Uygulama: Hafif basınçla yüzeyde kaydırın.
4. Kaydırıcı: Sürekli kaydırıcı ekleyin.
5. Ped Değişimi: Kil ped aşınınca cırtlı sistemle kolayca değiştirin.
6. Temizlik: Kirlenince ılık suyla durulayın.","Reçine, zift, su lekesi, endüstriyel toz ve metal partiküllerin el ile dekontaminasyonu için. Manuel detay temizliği için en pratik çözüm.","• Ergonomik mouse tasarımı - uzun kullanımda yorgunluk yok
• Cırtlı sök-tak sistem - yedek pedlerle 80+ araç ömrü
• Yıkanabilir kil tabakası - 40+ detay döngüsü
• Geniş çalışma yüzeyi"
MGPS-6046F2R,"1. Eski pedi çıkarın: Cırtlı sistemi ayırın.
2. Yeni pedi takın: Hook & loop ile gövdeye sabitleyin.
3. Kullanım: Normal kil pedi gibi kaydırıcı ile kullanın.
4. Temizlik: Kullanım sonrası ılık suyla durulayın.",MGPS-6046R Aplikatörlü El Kil Pedi'nin yedek parçasıdır. Mevcut ped aşındığında veya kirliyken değiştirmek için kullanılır.,"• 2 adet yedek ped - toplam 80 araç kapasitesi
• Saniyeler içinde değişim - hook & loop sistem
• Ekonomik çözüm - gövdeyi tekrar almak gerekmez
• Kesintisiz profesyonel çalışma"
Q2M-CME,"1. Hazırlık: Yüzeyi yıkayın, Iron ve Tar ile kimyasal dekontaminasyon yapın.
2. Kili Hazırlayın: Yumuşak kalana kadar yoğurun, yassı disk şeklinde şekillendirin.
3. Kaydırıcı: Bol miktarda clay lube veya detay spreyi püskürtün.
4. Uygulama: Hafif basınçla yüzeyde ileri-geri kaydırın.
5. Kontrol: Kil yüzeyini sık sık katlayarak temiz yüzey açığa çıkarın.
6. Sonuç: Poşet testiyle pürüzsüzlük kontrolü yapın.","Hafif reçine, boya sisi ve yapışkan kalıntıların güvenli temizliği için kullanılır. PPF, seramik kaplama ve mat boya üzerinde güvenle uygulanır. Iron/Tar ile birlikte kullanıldığında erimez.","• Yumuşak grade (2/10) - minimum çizik riski
• Kimyasal dirençli - Iron/Tar ile kullanılabilir
• PPF ve mat boya güvenli
• Açık renk - kontaminasyonu net gösterir
• Kolay biçimlendirme"
MGPS-6031B-P,"1. Aracı pH-nötr şampuanla yıkayıp durulayın.
2. GYEON Q²M Clay Lube'u 1:25 oranında sulandırıp paneli ıslatın.
3. Kil yüzeyini hafif baskıyla ileri-geri ve çapraz hareketlerle gezdirin.
4. Yüzey pürüzsüzleşince mikrofiber tarafla fazla kaydırıcıyı silin.
5. Pedi nötr pH şampuanla yıkayın ve havadar ortamda kurutun.","Polisaj, wax veya seramik kaplama öncesi yüzey hazırlığı, reçine/yol kiri/metal tozu temizliği ve PPF/seramik kaplama öncesi dekontaminasyon için kullanılır.","• Çift yüzlü tasarım - kil + mikrofiber
• 12×9 cm geniş çalışma alanı
• Ergonomik sünger çekirdek - avuç içi uyumlu
• Yıkanabilir - 40-50 araç dayanım"
EF0101,"1. Ürünü ambalajından çıkarın.
2. Araç klimasının havalandırma peteklerine klips mekanizmasıyla takın.
3. Klima çalıştığında koku otomatik olarak yayılmaya başlar.
4. Koku zayıfladığında (yaklaşık 45 gün) yenisiyle değiştirin.","Araç içi, ev, ofis veya tekne ortamlarında ferah ve hoş bir atmosfer oluşturmak için kullanılır. Vanilyanın sakinleştirici etkisi stresli günlerde rahatlama sağlar.","• 45 güne kadar kalıcı vanilya aroması
• Alkol ve toksik madde içermez
• Kontrollü koku salınım teknolojisi
• İtalyan kalitesi ve tasarımı"
EF0202,"1. Ürünü ambalajından çıkarın.
2. Araç klimasının havalandırma peteklerine klips mekanizmasıyla takın.
3. Klima çalıştığında koku otomatik olarak yayılmaya başlar.
4. Koku zayıfladığında (yaklaşık 45 gün) yenisiyle değiştirin.",Showroom'dan yeni çıkmış araç kokusunu yaşamak isteyen araç tutkunları için idealdir. Araç yolculuklarında modern ve taze bir atmosfer yaratır.,"• Sıfır araç kokusunu yeniden yaşatır
• 45 güne kadar kalıcı etki
• Alkol ve toksik madde içermez
• İtalyan kalitesi ve tasarımı"
EF0303,"1. Ürünü ambalajından çıkarın.
2. Araç klimasının havalandırma peteklerine klips mekanizmasıyla takın.
3. Klima çalıştığında koku otomatik olarak yayılmaya başlar.
4. Koku zayıfladığında (yaklaşık 45 gün) yenisiyle değiştirin.",Tutku dolu ve enerjik bir atmosfer yaratmak isteyen kullanıcılar için idealdir. Araç veya yaşam alanlarında dikkat çekici bir koku deneyimi sunar.,"• Tutku dolu ve çekici aroma
• 45 güne kadar kalıcı etki
• Alkol ve toksik madde içermez
• İtalyan kalitesi ve tasarımı"
IF0404,"1. Ürünü ambalajından çıkarın.
2. Araç klimasının havalandırma peteklerine klips mekanizmasıyla takın.
3. Klima çalıştığında koku otomatik olarak yayılmaya başlar.
4. Koku zayıfladığında (yaklaşık 45 gün) yenisiyle değiştirin.",Meyve kokusu sevenler için idealdir. Tatlı ve neşeli bir atmosfer yaratmak isteyen kullanıcılar için uygundur.,"• Olgunlaşmış kirazların tatlı aroması
• 45 güne kadar kalıcı etki
• Alkol ve toksik madde içermez
• İtalyan kalitesi ve tasarımı"
EF0606,"1. Ürünü ambalajından çıkarın.
2. Araç klimasının havalandırma peteklerine klips mekanizmasıyla takın.
3. Klima çalıştığında koku otomatik olarak yayılmaya başlar.
4. Koku zayıfladığında (yaklaşık 45 gün) yenisiyle değiştirin.",Lüks ve sofistike bir atmosfer yaratmak isteyen kullanıcılar için idealdir. Derin ve zarif bir koku deneyimi sunar.,"• Derin ve lüks Black Velvet aroması
• 45 güne kadar kalıcı etki
• Alkol ve toksik madde içermez
• İtalyan kalitesi ve şık tasarım"
EF0808,"1. Ürünü ambalajından çıkarın.
2. Araç klimasının havalandırma peteklerine klips mekanizmasıyla takın.
3. Klima çalıştığında koku otomatik olarak yayılmaya başlar.
4. Koku zayıfladığında (yaklaşık 45 gün) yenisiyle değiştirin.",Ferahlatıcı ve canlandırıcı bir atmosfer yaratmak için kullanılır. Uzun yolculuklarda uyanık kalmak ve enerji toplamak için idealdir.,"• Ferahlatıcı taze nane aroması
• 45 güne kadar kalıcı etki
• Alkol ve toksik madde içermez
• Canlandırıcı ve enerji verici"
IF0909,"1. Ürünü ambalajından çıkarın.
2. Araç klimasının havalandırma peteklerine klips mekanizmasıyla takın.
3. Klima çalıştığında koku otomatik olarak yayılmaya başlar.
4. Koku zayıfladığında (yaklaşık 45 gün) yenisiyle değiştirin.","Meyve kokusu sevenler ve taze, doğal bir atmosfer yaratmak isteyenler için idealdir. Neşeli ve enerjik bir ortam sağlar.","• Meyve bahçesinden gelen taze aroma
• 45 güne kadar kalıcı etki
• Alkol ve toksik madde içermez
• Neşeli ve enerjik atmosfer"
IF1111,"1. Ürünü ambalajından çıkarın.
2. Araç klimasının havalandırma peteklerine klips mekanizmasıyla takın.
3. Klima çalıştığında koku otomatik olarak yayılmaya başlar.
4. Koku zayıfladığında (yaklaşık 45 gün) yenisiyle değiştirin.",Tatlı meyve kokusu sevenler için idealdir. Neşeli ve canlı bir atmosfer yaratmak isteyenler için uygundur.,"• Taze çileğin tatlı ve enerjik aroması
• 45 güne kadar kalıcı etki
• Alkol ve toksik madde içermez
• Neşe ve mutluluk veren koku"
EF1212,"1. Ürünü ambalajından çıkarın.
2. Araç klimasının havalandırma peteklerine klips mekanizmasıyla takın.
3. Klima çalıştığında koku otomatik olarak yayılmaya başlar.
4. Koku zayıfladığında (yaklaşık 45 gün) yenisiyle değiştirin.",Sıcak ve zarif bir atmosfer yaratmak isteyen kullanıcılar için idealdir. Rahatlatıcı ve sofistike bir koku deneyimi sunar.,"• Sıcak ve zengin amber aroması
• 45 güne kadar kalıcı etki
• Alkol ve toksik madde içermez
• Rahatlatıcı ve huzur verici"
EF1313,"1. Ürünü ambalajından çıkarın.
2. Araç klimasının havalandırma peteklerine klips mekanizmasıyla takın.
3. Klima çalıştığında koku otomatik olarak yayılmaya başlar.
4. Koku zayıfladığında (yaklaşık 45 gün) yenisiyle değiştirin.",Bahar hissi yaratmak isteyen kullanıcılar için idealdir. Doğal ve taze bir atmosfer sağlar.,"• Çiçek bahçesinin taze aroması
• 45 güne kadar kalıcı etki
• Alkol ve toksik madde içermez
• Sakinleştirici ve doğal hissiyat"
IF1414,"1. Ürünü ambalajından çıkarın.
2. Araç klimasının havalandırma peteklerine klips mekanizmasıyla takın.
3. Klima çalıştığında koku otomatik olarak yayılmaya başlar.
4. Koku zayıfladığında (yaklaşık 45 gün) yenisiyle değiştirin.",Tropikal ve enerjik bir atmosfer yaratmak isteyen kullanıcılar için idealdir. Yaz tatili havasını her mevsim yaşatır.,"• Tropikal ananas ve hindistan cevizi aroması
• 45 güne kadar kalıcı etki
• Alkol ve toksik madde içermez
• Tatil havasını her an yaşatır"
EF1616,"1. Ürünü ambalajından çıkarın.
2. Araç klimasının havalandırma peteklerine klips mekanizmasıyla takın.
3. Klima çalıştığında koku otomatik olarak yayılmaya başlar.
4. Koku zayıfladığında (yaklaşık 45 gün) yenisiyle değiştirin.",Sofistike ve zarif bir atmosfer yaratmak isteyen kullanıcılar için idealdir. Lüks araçlar ve premium ortamlar için mükemmel.,"• Yumuşak ve şık kaşmir aroması
• 45 güne kadar kalıcı etki
• Alkol ve toksik madde içermez
• Sofistike ve huzur verici"
EF1717,"1. Ürünü ambalajından çıkarın.
2. Araç klimasının havalandırma peteklerine klips mekanizmasıyla takın.
3. Klima çalıştığında koku otomatik olarak yayılmaya başlar.
4. Koku zayıfladığında (yaklaşık 45 gün) yenisiyle değiştirin.",Canlandırıcı ve enerjik bir atmosfer yaratmak için kullanılır. Zencefilin sıcak notaları ve limonun tazeliği ile enerji verir.,"• Zencefil ve limonun dinamik uyumu
• 45 güne kadar kalıcı etki
• Alkol ve toksik madde içermez
• Canlandırıcı ve enerji verici"
EF1818,"1. Ürünü ambalajından çıkarın.
2. Araç klimasının havalandırma peteklerine klips mekanizmasıyla takın.
3. Klima çalıştığında koku otomatik olarak yayılmaya başlar.
4. Koku zayıfladığında (yaklaşık 45 gün) yenisiyle değiştirin.",Sofistike ve yoğun bir atmosfer yaratmak isteyen kullanıcılar için idealdir. Sakinleştirici etkisiyle rahatlatır.,"• Derin ve zengin misk aroması
• 45 güne kadar kalıcı etki
• Alkol ve toksik madde içermez
• Sofistike ve sakinleştirici"
EF1919,"1. Ürünü ambalajından çıkarın.
2. Araç klimasının havalandırma peteklerine klips mekanizmasıyla takın.
3. Klima çalıştığında koku otomatik olarak yayılmaya başlar.
4. Koku zayıfladığında (yaklaşık 45 gün) yenisiyle değiştirin.",Doğal ve rahatlatıcı bir atmosfer yaratmak isteyen kullanıcılar için idealdir. Doğa severler için mükemmel.,"• Doğanın huzur veren sedir ağacı aroması
• 45 güne kadar kalıcı etki
• Alkol ve toksik madde içermez
• Stresi azaltan rahatlatıcı etki"
EF0220,"1. Ürünü ambalajından çıkarın.
2. Araç klimasının havalandırma peteklerine klips mekanizmasıyla takın.
3. Klima çalıştığında koku otomatik olarak yayılmaya başlar.
4. Koku zayıfladığında (yaklaşık 45 gün) yenisiyle değiştirin.",Tatlı ve neşeli bir atmosfer yaratmak isteyen kullanıcılar için idealdir. Ruh halini yükseltir.,"• Tatlı ve keyifli şeker aroması
• 45 güne kadar kalıcı etki
• Alkol ve toksik madde içermez
• Mutluluk ve enerji katan koku"
IF2939,"1. Ürünü ambalajından çıkarın.
2. Araç klimasının havalandırma peteklerine klips mekanizmasıyla takın.
3. Klima çalıştığında koku otomatik olarak yayılmaya başlar.
4. Koku zayıfladığında (yaklaşık 45 gün) yenisiyle değiştirin.",Neşeli ve eğlenceli bir atmosfer yaratmak isteyen kullanıcılar için idealdir. Çocukluk anılarını canlandırır.,"• Nostaljik balonlu sakız aroması
• 45 güne kadar kalıcı etki
• Alkol ve toksik madde içermez
• Neşe ve mutluluk veren koku"
IF3243,"1. Ürünü ambalajından çıkarın.
2. Araç klimasının havalandırma peteklerine klips mekanizmasıyla takın.
3. Klima çalıştığında koku otomatik olarak yayılmaya başlar.
4. Koku zayıfladığında (yaklaşık 45 gün) yenisiyle değiştirin.",Taze ve ferah bir atmosfer yaratmak isteyen kullanıcılar için idealdir. Doğal ve canlı bir koku deneyimi sunar.,"• Canlı ve ferah elma aroması
• 45 güne kadar kalıcı etki
• Alkol ve toksik madde içermez
• Doğal ve enerji veren tazelik"
EF3963,"1. Ürünü ambalajından çıkarın.
2. Araç klimasının havalandırma peteklerine klips mekanizmasıyla takın.
3. Klima çalıştığında koku otomatik olarak yayılmaya başlar.
4. Koku zayıfladığında (yaklaşık 45 gün) yenisiyle değiştirin.","Kahve tutkunları için idealdir. Sıcak ve rahatlatıcı bir atmosfer yaratır, motivasyonu artırır.","• Taze demlenmiş kahvenin sıcak aroması
• 45 güne kadar kalıcı etki
• Alkol ve toksik madde içermez
• Enerji ve motivasyon veren koku"
EF4064,"1. Ürünü ambalajından çıkarın.
2. Araç klimasının havalandırma peteklerine klips mekanizmasıyla takın.
3. Klima çalıştığında koku otomatik olarak yayılmaya başlar.
4. Koku zayıfladığında (yaklaşık 45 gün) yenisiyle değiştirin.",Lüks ve nostaljik bir atmosfer yaratmak isteyen kullanıcılar için idealdir. Premium araçlar için mükemmel.,"• Gerçek derinin zarif ve güçlü aroması
• 45 güne kadar kalıcı etki
• Alkol ve toksik madde içermez
• Lüks ve sofistike atmosfer"
EF1754,"1. Ürünü ambalajından çıkarın.
2. Araç klimasının havalandırma peteklerine klips mekanizmasıyla takın.
3. Klima çalıştığında koku otomatik olarak yayılmaya başlar.
4. Koku zayıfladığında (yaklaşık 45 gün) yenisiyle değiştirin.","Buz gibi tazelik ve ferahlık arayanlar için idealdir. Kış temalı atmosfer yaratır, zihni dinlendirir.","• Avrupa kışının ferah nane-mentol aroması
• 45 güne kadar kalıcı etki
• Alkol ve toksik madde içermez
• Kar ve buz gibi serinletici tazelik"
EF1655,"1. Ürünü ambalajından çıkarın.
2. Araç klimasının havalandırma peteklerine klips mekanizmasıyla takın.
3. Klima çalıştığında koku otomatik olarak yayılmaya başlar.
4. Koku zayıfladığında (yaklaşık 45 gün) yenisiyle değiştirin.",Tatil ruhunu yansıtan zarif bir atmosfer yaratmak isteyenler için idealdir. Sofistike ve taze bir deneyim sunar.,"• Tatlı meyve ve taze çiçek notalarının zarif birleşimi
• 45 güne kadar kalıcı etki
• Alkol ve toksik madde içermez
• Şık altın tonlu dekoratif tasarım"
IF0453,"1. Ürünü ambalajından çıkarın.
2. Araç klimasının havalandırma peteklerine klips mekanizmasıyla takın.
3. Klima çalıştığında koku otomatik olarak yayılmaya başlar.
4. Koku zayıfladığında (yaklaşık 45 gün) yenisiyle değiştirin.","Kış aylarının sıcaklığını ve lezzetli atmosferini yaşatmak isteyenler için idealdir. Ev, araba, ofis veya tekne gibi her ortamda mükemmel uyum sağlar.","• Tatlı elma ve baharatlı tarçın notalarının kış sıcaklığı
• 45 güne kadar kalıcı etki
• Alkol ve toksik madde içermez
• Şık ve fonksiyonel tasarım"
SJ0402,"1. Ürünü ambalajından çıkarın.
2. Araç klimasının havalandırma peteklerine klips mekanizmasıyla takın.
3. Klima çalıştığında koku otomatik olarak yayılmaya başlar.
4. Koku zayıfladığında (yaklaşık 45 gün) yenisiyle değiştirin.",Yepyeni bir araba hissini yaşamak isteyen ve futbol tutkunu kullanıcılar için idealdir. Showroom temizliğindeki taze kokuyu 45 gün boyunca hissettirir.,"• Showroom'dan yeni çıkmış araba hissi
• 45 güne kadar kalıcı etki
• Futbol temalı dekoratif tasarım
• Alkol ve toksik madde içermez"
LO2602,"1. Ürünü ambalajından çıkarın.
2. Araç klimasının havalandırma peteklerine klips mekanizmasıyla takın.
3. Klima çalıştığında koku otomatik olarak yayılmaya başlar.
4. Koku zayıfladığında (yaklaşık 45 gün) yenisiyle değiştirin.",Milli duygularını taşımak isteyen ve yeni araç kokusu sevenler için idealdir. Türkiye'ye özel kırmızı-beyaz tasarımıyla vatan sevgisini yansıtır.,"• Türkiye'ye özel tasarım ve milli renkler
• 45 güne kadar kalıcı yeni araç kokusu
• Alkol ve toksik madde içermez
• İtalyan kalitesi, dünya standartları"
LO2601,"1. Ürünü ambalajından çıkarın.
2. Araç klimasının havalandırma peteklerine klips mekanizmasıyla takın.
3. Klima çalıştığında koku otomatik olarak yayılmaya başlar.
4. Koku zayıfladığında (yaklaşık 45 gün) yenisiyle değiştirin.",Romantik bir atmosfer yaratmak ve sevdiğinize duygularınızı ifade etmek isteyenler için idealdir. Tatlı vanilya kokusuyla huzur ve mutluluk hissi verir.,"• Romantik 'Seni Seviyorum' tasarımı
• Sıcak ve tatlı vanilya aroması
• 45 güne kadar kalıcı etki
• Alkol ve toksik madde içermez"
LE3739,"1. Ürünleri ambalajından çıkarın.
2. Her iki parçayı araç klimasının havalandırma peteklerine klips mekanizmasıyla takın.
3. Klima çalıştığında koku otomatik olarak yayılmaya başlar.
4. Koku zayıfladığında (yaklaşık 45 gün) yenileriyle değiştirin.",Romantik bir atmosfer ve tatlı meyve aroması isteyenler için idealdir. İki farklı renk seçeneği dekoratif bir görünüm sağlar.,"• Çilek ve böğürtlen notalarının tatlı birleşimi
• 2'li paket ekonomik avantaj
• İki farklı renk, dekoratif tasarım
• 45 güne kadar kalıcı etki"
LE3801,"1. Ürünleri ambalajından çıkarın.
2. Her iki parçayı araç klimasının havalandırma peteklerine klips mekanizmasıyla takın.
3. Klima çalıştığında koku otomatik olarak yayılmaya başlar.
4. Koku zayıfladığında (yaklaşık 45 gün) yenileriyle değiştirin.",Güneşin sıcaklığını ve romantizmi bir arada yaşamak isteyenler için idealdir. Vanilya ve narenciye aromalarının ferahlatıcı birleşimi.,"• Sıcak vanilya ve ferah narenciye birleşimi
• 2'li paket ekonomik avantaj
• İki farklı renk, dekoratif tasarım
• 45 güne kadar kalıcı etki"
LE3620,"1. Ürünleri ambalajından çıkarın.
2. Her iki parçayı araç klimasının havalandırma peteklerine klips mekanizmasıyla takın.
3. Klima çalıştığında koku otomatik olarak yayılmaya başlar.
4. Koku zayıfladığında (yaklaşık 45 gün) yenileriyle değiştirin.",Tatlı ve neşeli bir atmosfer yaratmak isteyenler için idealdir. Şeker ve meyve kokularının eğlenceli birleşimi.,"• Tatlı şeker ve meyve aromalarının neşeli birleşimi
• 2'li paket ekonomik avantaj
• Aşk serisi özel tasarım
• 45 güne kadar kalıcı etki"
ED0101,"1. Ürünü ambalajından çıkarın.
2. Araç klimasının havalandırma peteklerine klips mekanizmasıyla takın.
3. Klima çalıştığında koku otomatik olarak yayılmaya başlar.
4. Koku zayıfladığında (yaklaşık 45 gün) yenisiyle değiştirin.",Huzur veren sıcak bir atmosfer ve sevimli bir dekoratif aksesuar isteyenler için idealdir. Vanilya severler için mükemmel tercih.,"• Sevimli 3D köpek figürü tasarımı
• Sıcak ve tatlı vanilya aroması
• 45 güne kadar kalıcı etki
• Alkol ve toksik madde içermez"
ED0202,"1. Ürünü ambalajından çıkarın.
2. Araç klimasının havalandırma peteklerine klips mekanizmasıyla takın.
3. Klima çalıştığında koku otomatik olarak yayılmaya başlar.
4. Koku zayıfladığında (yaklaşık 45 gün) yenisiyle değiştirin.",Sıfır kilometre araç tazeliğini sevimli bir tasarımla yaşamak isteyenler için idealdir. Showroom kokusunu 45 gün boyunca hissettirir.,"• Sevimli 3D köpek figürü tasarımı
• Showroom'dan yeni çıkmış araba kokusu
• 45 güne kadar kalıcı etki
• Alkol ve toksik madde içermez"
ED0303,"1. Ürünü ambalajından çıkarın.
2. Araç klimasının havalandırma peteklerine klips mekanizmasıyla takın.
3. Klima çalıştığında koku otomatik olarak yayılmaya başlar.
4. Koku zayıfladığında (yaklaşık 45 gün) yenisiyle değiştirin.",Tutkulu ve enerjik bir atmosfer yaratmak isteyenler için idealdir. Dinamik ve etkileyici koku deneyimi sunar.,"• Sevimli 3D köpek figürü tasarımı
• Yoğun ve tutkulu aroma
• 45 güne kadar kalıcı etki
• Alkol ve toksik madde içermez"
ID0404,"1. Ürünü ambalajından çıkarın.
2. Araç klimasının havalandırma peteklerine klips mekanizmasıyla takın.
3. Klima çalıştığında koku otomatik olarak yayılmaya başlar.
4. Koku zayıfladığında (yaklaşık 45 gün) yenisiyle değiştirin.",Taze ve meyvemsi bir atmosfer yaratmak isteyenler için idealdir. Baharın enerjisini aracınıza taşır.,"• Sevimli 3D köpek figürü tasarımı
• Tatlı ve ferah kiraz aroması
• 45 güne kadar kalıcı etki
• Alkol ve toksik madde içermez"
ED0606,"1. Ürünü ambalajından çıkarın.
2. Araç klimasının havalandırma peteklerine klips mekanizmasıyla takın.
3. Klima çalıştığında koku otomatik olarak yayılmaya başlar.
4. Koku zayıfladığında (yaklaşık 45 gün) yenisiyle değiştirin.",Zarif ve sofistike bir atmosfer yaratmak isteyenler için idealdir. Lüks ve gizemli koku profiliyle tarz sahibi kullanıcılara hitap eder.,"• Sevimli 3D köpek figürü tasarımı
• Sofistike ve gizemli siyah inci aroması
• 45 güne kadar kalıcı etki
• Alkol ve toksik madde içermez"
ID0909,"1. Ürünü ambalajından çıkarın.
2. Araç klimasının havalandırma peteklerine klips mekanizmasıyla takın.
3. Klima çalıştığında koku otomatik olarak yayılmaya başlar.
4. Koku zayıfladığında (yaklaşık 45 gün) yenisiyle değiştirin.",Taze ve enerjik bir atmosfer yaratmak isteyenler için idealdir. Meyve bahçelerinin canlı kokusunu aracınıza taşır.,"• Sevimli 3D köpek figürü tasarımı
• Taze meyve bahçesi aroması
• 45 güne kadar kalıcı etki
• Alkol ve toksik madde içermez"
IY1401,"1. Ürünü ambalajından çıkarın.
2. Araç klimasının havalandırma peteklerine klips mekanizmasıyla takın.
3. Klima çalıştığında koku otomatik olarak yayılmaya başlar.
4. Koku zayıfladığında (yaklaşık 45 gün) yenisiyle değiştirin.",Sıcak ve huzur dolu bir atmosfer yaratmak isteyenler için idealdir. Vanilya kremasının yumuşak ve tatlı kokusuyla dinlendirici bir deneyim sunar.,"• Zarif 3D Joya figürü tasarımı
• Sıcak ve kremsi vanilya aroması
• 45 güne kadar kalıcı etki
• Alkol ve toksik madde içermez"
EY0202,"1. Ürünü ambalajından çıkarın.
2. Araç klimasının havalandırma peteklerine klips mekanizmasıyla takın.
3. Klima çalıştığında koku otomatik olarak yayılmaya başlar.
4. Koku zayıfladığında (yaklaşık 45 gün) yenisiyle değiştirin.",Sıfır kilometre araç tazeliğini zarif bir tasarımla yaşamak isteyenler için idealdir. Showroom kokusunu 45 gün boyunca hissettirir.,"• Zarif 3D Joya figürü tasarımı
• Showroom'dan yeni çıkmış araba kokusu
• 45 güne kadar kalıcı etki
• Alkol ve toksik madde içermez"
EY1213,"1. Ürünü ambalajından çıkarın.
2. Araç klimasının havalandırma peteklerine klips mekanizmasıyla takın.
3. Klima çalıştığında koku otomatik olarak yayılmaya başlar.
4. Koku zayıfladığında (yaklaşık 45 gün) yenisiyle değiştirin.",Baharın tazeliğini ve çiçeklerin zarif kokusunu yaşamak isteyenler için idealdir. İlkbaharın neşesi ve enerjisini taşır.,"• Zarif 3D Joya figürü tasarımı
• Bahar çiçeklerinin taze ve zarif aroması
• 45 güne kadar kalıcı etki
• Alkol ve toksik madde içermez"
EY3311,"1. Ürünü ambalajından çıkarın.
2. Araç klimasının havalandırma peteklerine klips mekanizmasıyla takın.
3. Klima çalıştığında koku otomatik olarak yayılmaya başlar.
4. Koku zayıfladığında (yaklaşık 45 gün) yenisiyle değiştirin.",Nostaljik ve neşeli bir atmosfer yaratmak isteyenler için idealdir. Çocukluk anılarını canlandıran tatlı koku deneyimi.,"• Zarif 3D Joya figürü tasarımı
• Nostaljik pamuk şeker aroması
• 45 güne kadar kalıcı etki
• Alkol ve toksik madde içermez"
IY2939,"1. Ürünü ambalajından çıkarın.
2. Araç klimasının havalandırma peteklerine klips mekanizmasıyla takın.
3. Klima çalıştığında koku otomatik olarak yayılmaya başlar.
4. Koku zayıfladığında (yaklaşık 45 gün) yenisiyle değiştirin.",Taze ve enerji verici bir atmosfer yaratmak isteyenler için idealdir. Yaban mersininin canlandırıcı kokusu günlük tazelik sağlar.,"• Zarif 3D Joya figürü tasarımı
• Taze yaban mersini aroması
• 45 güne kadar kalıcı etki
• Alkol ve toksik madde içermez"
EY2409,"1. Ürünü ambalajından çıkarın.
2. Araç klimasının havalandırma peteklerine klips mekanizmasıyla takın.
3. Klima çalıştığında koku otomatik olarak yayılmaya başlar.
4. Koku zayıfladığında (yaklaşık 45 gün) yenisiyle değiştirin.",Huzur ve dinginlik arayanlar için idealdir. Lavantanın rahatlatıcı etkisiyle stresli günlerin ardından sakin bir atmosfer yaratır.,"• Zarif 3D Joya figürü tasarımı
• Rahatlatıcı lavanta aroması
• 45 güne kadar kalıcı etki
• Alkol ve toksik madde içermez"
EP0101,"1. Ürünü ambalajından çıkarın.
2. Araç klimasının havalandırma peteklerine klips mekanizmasıyla takın.
3. Klima çalıştığında koku otomatik olarak yayılmaya başlar.
4. Koku zayıfladığında (yaklaşık 45 gün) yenisiyle değiştirin.",Evcil hayvan sahipleri ve sıcak bir atmosfer yaratmak isteyenler için idealdir. Vanilya kremasının huzur verici kokusu.,"• Sevimli sarı yavru köpek figürü
• Sıcak ve tatlı vanilya aroması
• 45 güne kadar kalıcı etki
• Evcil hayvanlar için de güvenli"
